,0
198,5.467683905353716e-07
199,2.7871018198355645e-07
200,1.295081607807594e-07
201,3.8580075811923696e-07
202,3.190230777499653e-07
203,9.592434186064965e-08
204,1.44611973345974e-07
205,6.32020085130802e-07
206,1.7814466551629036e-07
207,3.458312326889169e-07
208,6.138432970927784e-07
209,2.508078150721914e-07
210,1.0357329102469835e-07
211,5.6727004127499254e-08
212,3.57546157853039e-07
213,1.921506816797645e-07
214,2.611411958304321e-07
215,2.284865340767938e-07
216,8.66189389961553e-07
217,4.601885323042753e-07
218,8.22903482428105e-08
219,9.730600951204504e-08
220,4.3954320582876154e-08
221,1.0057565544232147e-07
222,1.9814147354163365e-07
223,4.795731830428821e-08
224,4.1861823907984666e-07
225,1.4810400345161004e-07
226,4.525931849486545e-08
227,1.853967460055265e-07
228,3.874651931053203e-07
229,7.654977847499849e-07
230,2.2927560263345532e-07
231,1.1250395014297824e-07
232,5.033835077357093e-07
233,2.496232478503257e-07
234,1.0130797397627348e-07
235,1.9568366282537446e-07
236,3.514460373692141e-07
237,3.086709902202417e-07
238,2.318988226100394e-07
239,2.963247375289483e-07
240,1.6651959479368615e-07
241,4.6871189782622915e-08
242,2.084910744251226e-07
243,2.358090403279758e-08
244,1.08882299896939e-07
245,1.429203178453616e-07
246,5.559726001304177e-07
247,5.988418103943236e-07
248,1.224787324115245e-07
249,2.8698881805282156e-07
250,1.334005776623498e-07
251,4.515386698726779e-07
252,1.1076816378331072e-07
253,1.357990915670903e-07
254,1.6442984827609055e-07
255,3.3991517061906223e-07
256,5.372670527274715e-07
257,1.556131127315323e-07
258,4.821212946736697e-07
259,1.7475818069587695e-07
260,2.2503269940749907e-07
261,7.901363143383314e-08
262,3.9364240454684543e-07
263,1.355682272706761e-07
264,2.8324319644174514e-07
265,3.0466942495511394e-07
266,4.6215531668002876e-07
267,1.540706917147844e-07
268,2.2034757026977667e-07
269,3.766210379758718e-08
270,6.134058747951629e-07
271,6.183013887975113e-07
272,1.637314979446014e-07
273,2.459158118079774e-07
274,4.147488972663087e-07
275,2.2875035764905496e-07
276,3.716798012375686e-07
